Script,Sampling Frequency (Hz),Iteration,Execution Time (s),Peak Memory Usage (MiB),Average Memory Usage (MiB)
bdsim,1000,1,8.461066961288452,2608.265625,2047.5320444915253
bdsim,1000,2,4.898467063903809,398.140625,390.37784090909093
bdsim,1000,3,4.723318099975586,401.9375,393.8754734848485
bdsim,1000,4,6.4344751834869385,3330.953125,1040.3654336734694
bdsim,1000,5,4.787865161895752,491.59375,483.9266098484849
bdsim,1000,6,4.763376951217651,493.578125,485.4597537878788
bdsim,1000,7,4.788571834564209,494.609375,486.72159090909093
bdsim,1000,8,4.755034923553467,496.71875,488.8399621212121
bdsim,1000,9,4.82163667678833,500.125,492.19163602941177
bdsim,1000,10,4.792464017868042,501.859375,494.3655303030303
bdsim,2385,1,12.18259596824646,505.515625,501.51934523809524
bdsim,2385,2,11.890019178390503,508.390625,504.3189338235294
bdsim,2385,3,12.04904580116272,514.90625,510.67007211538464
bdsim,2385,4,11.903496742248535,517.65625,513.2694546568628
bdsim,2385,5,12.112016201019287,520.359375,516.7672776442307
bdsim,2385,6,12.10017704963684,524.28125,520.2364783653846
bdsim,2385,7,12.03199577331543,527.671875,524.125
bdsim,2385,8,12.081228733062744,531.203125,527.1352163461538
bdsim,2385,9,11.936808109283447,533.3125,529.5068264563107
bdsim,2385,10,11.98523235321045,537.890625,533.6518507281553
bdsim,5689,1,43.069127798080444,548.609375,541.4787808641976
bdsim,5689,2,43.182570934295654,577.90625,557.7548106527094
bdsim,5689,3,43.68129301071167,581.28125,577.6401699029126
bdsim,5689,4,42.437434911727905,586.515625,583.3863065326633
bdsim,5689,5,42.838281869888306,592.125,588.1531563283208
bdsim,5689,6,43.0023729801178,596.703125,592.1182980049875
bdsim,5689,7,43.0254340171814,603.546875,599.3107465710723
bdsim,5689,8,43.29334020614624,605.25,603.6724953473945
bdsim,5689,9,42.98844385147095,614.703125,608.5744233167082
bdsim,5689,10,42.38932180404663,618.984375,614.3110759493671
bdsim,13572,1,205.46711707115173,665.15625,642.3264224796334
bdsim,13572,2,205.28586387634277,688.125,679.4098355430903
bdsim,13572,3,203.1074628829956,707.953125,696.9472565687789
bdsim,13572,4,208.23114323616028,746.203125,724.0191818467337
bdsim,13572,5,202.45194697380066,757.671875,750.7433381782946
bdsim,13572,6,203.54101085662842,774.359375,765.1098811053985
bdsim,13572,7,204.39133071899414,802.15625,785.6975355040942
bdsim,13572,8,201.1302831172943,819.25,807.3128333116546
bdsim,13572,9,206.23499298095703,837.6875,826.3011606693508
bdsim,13572,10,202.7947700023651,872.4375,849.1894039203085
bdsim,32373,1,1132.0682201385498,1091.296875,951.2406382403058
bdsim,32373,2,1114.3576917648315,1135.921875,1097.2201648679652
bdsim,32373,3,1114.5186970233917,1222.1875,1161.2158821017408
bdsim,32373,4,1112.2841420173645,1322.15625,1263.248826078312
bdsim,32373,5,1220.2616131305695,1350.703125,1326.7510535958465
bdsim,32373,6,1126.4671518802643,1381.265625,1366.47785143585
bdsim,32373,7,1096.5864961147308,1404.65625,1393.5519494812488
bdsim,32373,8,1097.2842810153961,1404.78125,1403.2046632740416
bdsim,32373,9,1100.0880100727081,1411.453125,1409.4863987332765
bdsim,32373,10,1110.666839838028,1539.015625,1420.8337562259187
