Script,Sampling Frequency (Hz),Iteration,Execution Time (s),Peak Memory Usage (MiB),Average Memory Usage (MiB)
pyblksim,1000,1,4.911051034927368,473.921875,273.181640625
pyblksim,1000,2,4.792439937591553,479.015625,277.111328125
pyblksim,1000,3,4.843613147735596,481.203125,280.345703125
pyblksim,1000,4,4.796225070953369,484.8125,283.740234375
pyblksim,1000,5,5.030171155929565,488.0,287.107421875
pyblksim,1000,6,4.777254104614258,492.59375,290.669921875
pyblksim,1000,7,4.822450160980225,495.40625,294.02734375
pyblksim,1000,8,5.162137985229492,499.234375,297.41015625
pyblksim,1000,9,4.872767925262451,501.203125,300.587890625
pyblksim,1000,10,4.838580131530762,504.484375,303.98046875
pyblksim,1000,11,4.928597927093506,508.0,307.326171875
pyblksim,1000,12,4.731230020523071,512.75,310.87109375
pyblksim,1000,13,4.770291328430176,518.203125,314.5078125
pyblksim,1000,14,4.943389892578125,520.28125,317.72265625
pyblksim,1000,15,4.773599147796631,522.4375,320.95703125
pyblksim,1000,16,4.788009166717529,526.6875,324.482421875
pyblksim,1000,17,4.769145965576172,530.546875,327.912109375
pyblksim,1000,18,4.766080141067505,534.625,331.541015625
pyblksim,1000,19,4.782341718673706,537.953125,335.056640625
pyblksim,1000,20,4.780009031295776,541.03125,338.533203125
pyblksim,1000,21,4.790863037109375,544.21875,342.029296875
pyblksim,1000,22,4.7672507762908936,547.46875,345.37890625
pyblksim,1000,23,4.7784647941589355,551.640625,349.130859375
pyblksim,1000,24,4.784929990768433,555.328125,352.787109375
pyblksim,1000,25,4.771174907684326,557.609375,356.341796875
pyblksim,1000,26,4.783259153366089,562.71875,360.078125
pyblksim,1000,27,4.773022890090942,566.75,363.9375
pyblksim,1000,28,4.773297071456909,569.59375,367.607421875
pyblksim,1000,29,4.7787559032440186,574.703125,371.5625
pyblksim,1000,30,4.773996829986572,576.40625,375.08203125
pyblksim,1000,31,4.77701473236084,583.203125,379.263671875
pyblksim,1000,32,4.788370132446289,584.59375,382.751953125
pyblksim,1000,33,4.772618055343628,591.140625,386.90234375
pyblksim,1000,34,4.785145998001099,592.046875,390.328125
pyblksim,1000,35,4.776261806488037,597.0,394.271484375
pyblksim,1000,36,4.785520792007446,600.578125,398.02734375
pyblksim,1000,37,4.80748987197876,605.03125,401.892578125
pyblksim,1000,38,4.802821159362793,608.359375,405.64453125
pyblksim,1000,39,4.7820329666137695,612.0,409.4140625
pyblksim,1000,40,4.77909517288208,616.078125,413.259765625
pyblksim,1000,41,4.7920520305633545,619.296875,416.998046875
pyblksim,1000,42,4.783260822296143,623.21875,420.775390625
pyblksim,1000,43,4.80049729347229,626.84375,424.552734375
pyblksim,1000,44,4.77226710319519,631.671875,428.509765625
pyblksim,1000,45,4.78102970123291,634.984375,432.21875
pyblksim,1000,46,4.787776947021484,637.78125,435.87890625
pyblksim,1000,47,4.783129930496216,643.296875,439.888671875
pyblksim,1000,48,4.774214267730713,646.34375,443.583984375
pyblksim,1000,49,4.7838568687438965,649.25,447.259765625
pyblksim,1000,50,4.798427104949951,653.5,451.15234375
pyblksim,1000,51,4.767466068267822,657.265625,454.92578125
pyblksim,1000,52,4.791129112243652,660.921875,458.6875
pyblksim,1000,53,4.791877269744873,664.078125,462.408203125
pyblksim,1000,54,4.792284727096558,668.8125,466.310546875
pyblksim,1000,55,4.777144193649292,673.453125,470.232421875
pyblksim,1000,56,4.780237197875977,673.953125,473.615234375
pyblksim,1000,57,4.787919998168945,680.40625,477.73046875
pyblksim,1000,58,4.785898208618164,683.484375,481.435546875
pyblksim,1000,59,4.7812700271606445,687.046875,485.205078125
pyblksim,1000,60,4.795142889022827,690.734375,488.998046875
pyblksim,1000,61,4.784618854522705,695.328125,492.900390625
pyblksim,1000,62,4.773578882217407,698.375,496.59375
pyblksim,1000,63,4.7744669914245605,701.65625,500.314453125
pyblksim,1000,64,4.7958972454071045,706.609375,504.25390625
pyblksim,1000,65,4.782094717025757,709.625,507.98046875
pyblksim,1000,66,4.785551071166992,714.234375,511.869140625
pyblksim,1000,67,4.7668328285217285,718.71875,515.75390625
pyblksim,1000,68,4.789445877075195,723.21875,519.63671875
pyblksim,1000,69,4.789276838302612,724.6875,523.13671875
pyblksim,1000,70,4.7875587940216064,729.390625,527.05078125
pyblksim,1000,71,4.779448986053467,734.078125,530.951171875
pyblksim,1000,72,4.789766073226929,736.78125,534.630859375
pyblksim,1000,73,4.7751100063323975,739.734375,538.318359375
pyblksim,1000,74,4.760956048965454,744.34375,542.203125
pyblksim,1000,75,4.791204214096069,748.671875,546.0625
pyblksim,1000,76,4.7768659591674805,751.421875,549.724609375
pyblksim,1000,77,4.785459756851196,755.640625,553.5703125
pyblksim,1000,78,4.774640798568726,758.328125,557.224609375
pyblksim,1000,79,4.80208683013916,762.609375,561.076171875
pyblksim,1000,80,4.787562847137451,768.359375,565.125
pyblksim,1000,81,4.784258127212524,771.390625,568.82421875
pyblksim,1000,82,4.787713050842285,776.15625,572.732421875
pyblksim,1000,83,4.774103164672852,778.5625,576.35546875
pyblksim,1000,84,4.7837958335876465,782.140625,580.134765625
pyblksim,1000,85,4.772274971008301,785.75,583.900390625
pyblksim,1000,86,4.787765979766846,789.296875,587.658203125
pyblksim,1000,87,4.781750917434692,792.53125,591.380859375
pyblksim,1000,88,4.79257607460022,797.953125,595.37890625
pyblksim,1000,89,4.769052982330322,801.625,599.173828125
pyblksim,1000,90,4.786386013031006,805.828125,603.017578125
pyblksim,1000,91,4.775223016738892,809.609375,606.796875
pyblksim,1000,92,4.783826112747192,813.421875,610.5859375
pyblksim,1000,93,4.780843019485474,818.25,614.513671875
pyblksim,1000,94,4.9310619831085205,821.015625,583.8532608695652
pyblksim,1000,95,4.799551963806152,707.65625,506.54296875
pyblksim,1000,96,4.78555703163147,710.125,506.92578125
pyblksim,1000,97,4.769844055175781,710.75,507.037109375
pyblksim,1000,98,4.800432205200195,710.640625,507.056640625
pyblksim,1000,99,4.787074089050293,709.6875,506.98046875
pyblksim,1000,100,4.787168979644775,710.9375,507.19140625
pyblksim,2385,1,3.288647174835205,710.671875,664.1125
pyblksim,2385,2,3.2925941944122314,708.453125,662.375
pyblksim,2385,3,3.279268980026245,708.015625,662.04375
pyblksim,2385,4,3.2693328857421875,708.6875,662.6
pyblksim,2385,5,3.2874631881713867,710.390625,663.975
pyblksim,2385,6,3.2786519527435303,710.234375,671.5911458333334
pyblksim,2385,7,3.2781481742858887,709.109375,662.971875
pyblksim,2385,8,3.2821247577667236,710.984375,664.44375
pyblksim,2385,9,3.2786612510681152,710.21875,663.859375
pyblksim,2385,10,3.2817270755767822,709.125,670.7213541666666
pyblksim,2385,11,3.28023099899292,710.5625,664.20625
pyblksim,2385,12,3.2799832820892334,710.625,664.265625
pyblksim,2385,13,3.2864160537719727,710.03125,663.615625
pyblksim,2385,14,3.274278163909912,711.40625,664.903125
pyblksim,2385,15,3.2872121334075928,711.34375,664.865625
pyblksim,2385,16,3.281667947769165,711.09375,664.721875
pyblksim,2385,17,3.2871012687683105,711.578125,665.11875
pyblksim,2385,18,3.276279926300049,710.90625,664.628125
pyblksim,2385,19,3.2854766845703125,711.34375,672.7161458333334
pyblksim,2385,20,3.2859981060028076,710.828125,664.45
pyblksim,2385,21,3.2842302322387695,713.25,666.590625
pyblksim,2385,22,3.277039051055908,712.609375,666.134375
pyblksim,2385,23,3.2827470302581787,712.03125,673.4244791666666
pyblksim,2385,24,3.2986197471618652,713.390625,666.821875
pyblksim,2385,25,3.3042550086975098,711.265625,665.15625
pyblksim,2385,26,3.282809019088745,713.125,666.615625
pyblksim,2385,27,3.284968852996826,713.375,666.8875
pyblksim,2385,28,3.3032751083374023,714.171875,667.609375
pyblksim,2385,29,3.2760009765625,712.46875,666.20625
pyblksim,2385,30,3.2883119583129883,713.75,675.046875
pyblksim,2385,31,3.2787880897521973,714.421875,667.896875
pyblksim,2385,32,3.2845659255981445,712.8125,666.609375
pyblksim,2385,33,3.2730488777160645,713.828125,667.46875
pyblksim,2385,34,3.2832188606262207,717.828125,669.778125
pyblksim,2385,35,3.285404920578003,722.59375,674.5875
pyblksim,2385,36,3.295797109603882,725.140625,677.55625
pyblksim,2385,37,3.2774558067321777,733.0,685.0875
pyblksim,2385,38,3.2818219661712646,737.265625,689.371875
pyblksim,2385,39,3.286891222000122,742.921875,695.15
