Script,Sampling Frequency (Hz),Iteration,Execution Time (s),Peak Memory Usage (MiB),Average Memory Usage (MiB)
simulink,1000,1,28.359699010849,3420.828125,2782.0274345930234
simulink,1000,2,18.607791900634766,2830.203125,2113.7881170382166
simulink,1000,3,16.397629976272583,2871.765625,2322.786730410448
simulink,1000,4,15.799476861953735,3051.796875,2389.1743421052633
simulink,1000,5,18.26079821586609,2835.96875,2211.3926945364237
simulink,1000,6,15.452652931213379,2889.140625,2264.2251201923077
simulink,1000,7,15.433084964752197,3018.65625,2317.325823643411
simulink,1000,8,17.246921062469482,2867.46875,2350.6917517006805
simulink,1000,9,17.189273834228516,2789.71875,2235.6259631849316
simulink,1000,10,18.240084886550903,2835.328125,2258.9011796357618
simulink,1000,11,16.499282121658325,3010.65625,2333.3175951086955
simulink,1000,12,16.8768150806427,2835.09375,2210.226289335664
simulink,1000,13,15.706739902496338,3049.0625,2411.089725378788
simulink,1000,14,16.234372854232788,2966.765625,2339.956112132353
simulink,1000,15,15.274723052978516,3095.125,2407.3043212890625
simulink,1000,16,16.461234092712402,2862.625,2299.853417266187
simulink,1000,17,16.055853128433228,3050.71875,2473.886226851852
simulink,1000,18,17.196064949035645,3049.453125,2385.3757543103447
simulink,1000,19,16.820555925369263,2836.328125,2315.327684859155
simulink,1000,20,14.90540099143982,2959.3125,2359.1185735887098
simulink,1000,21,15.423035860061646,2865.109375,2320.454578488372
simulink,1000,22,17.463061094284058,2955.828125,2282.945945945946
simulink,1000,23,15.543855905532837,2811.453125,2302.861312984496
simulink,1000,24,14.727738857269287,2854.3125,2268.5509114583333
simulink,1000,25,15.679323196411133,3103.9375,2373.316105769231
simulink,1000,26,17.339940309524536,2804.5,2228.36724137931
simulink,1000,27,18.849915981292725,2884.265625,2276.7486066878982
simulink,1000,28,15.755237817764282,3058.8125,2390.844933712121
simulink,1000,29,17.0439453125,2799.15625,2297.5665147569443
simulink,1000,30,15.938679218292236,3155.640625,2404.9795582706765
simulink,1000,31,15.654196977615356,2928.171875,2303.1303294573645
simulink,1000,32,15.690215826034546,3130.140625,2357.0276717557254
simulink,1000,33,14.65375018119812,2869.71875,2291.8259114583334
